date,client_id,amount,type,category
2020-03-09,C015,987.92,income,UNKNOWN_ERROR
2020-03-13,C015,1481.88,income,Partial
2020-03-16,C016,5308.95,income,Partial
2020-03-20,C016,7963.42,income,Partial
2020-04-02,C017,5325.17,income,Service
2020-03-15,,5078.12,income,Partial
2020-03-19,C018,7617.18,income,Partial
2020-03-25,C019,2588.12,income,Partial
2020-03-29,C019,3882.18,income,Partial
2020-04-12,C020,1009.92,income,Partial
2020-04-16,C020,1514.88,income,Partial
2020-03-08,C022,1546.73,income,Service
2020-04-14,C025,1617.62,income,Service
2020-03-21,C026,6448.74,income,Service
2020-04-04,C027,5224.99,income,Service
2020-04-08,C031,1047.39,income,Service
2020-03-25,,4759.19,income,Service
2020-03-25,C033,12212.59,income,Service
2020-03-27,C034,7992.91,income,Service
2020-03-16,C036,2547.98,income,Service
2020-03-31,C037,9004.73,income,Service
2020-04-05,C039,3255.06,income,Partial
2020-04-09,C039,4882.59,income,Partial
2020-03-10,C040,4475.19,income,Service
2020-04-06,,3770.86,income,Service
2020-04-12,C044,9066.2,income,Service
2020-03-24,C045,402.36,income,Partial
2020-03-28,C045,603.53,income,Partial
2020-03-14,C048,5194.65,income,Partial
2020-03-18,C048,7791.97,income,Partial
2020-03-12,C049,13289.6,income,Service
2020-03-27,C050,652.83,income,Service
2020-03-09,C051,3383.41,income,Service
2020-03-27,C054,4487.64,income,Partial
2020-03-31,C054,6731.45,income,UNKNOWN_ERROR
2020-04-07,C055,501.15,income,Service
2020-03-09,C060,772.68,income,UNKNOWN_ERROR
2020-03-30,C064,4377.8,income,Service
2020-03-02,C067,6577.75,income,Service
2020-04-11,C069,8845.53,income,Service
2020-03-10,C076,290.8,income,Service
2020-04-03,C083,4344.51,income,Partial
2020-04-07,C083,6516.77,income,Partial
2020-03-03,C086,7728.45,income,Service
2020-03-09,C087,1902.51,income,UNKNOWN_ERROR
2020-03-20,C090,4984.16,income,Service
2020-04-01,SELF,1200.0,expense,Rent
2020-05-13,C001,4691.05,income,Service
2020-04-03,C002,582.37,income,Service
2020-04-19,C003,2195.83,income,Service
2020-04-29,C004,3720.07,income,UNKNOWN_ERROR
2020-05-03,C004,5580.1,income,Partial
2020-05-14,C005,2383.54,income,Partial
2020-05-18,C005,3575.3,income,UNKNOWN_ERROR
2020-04-16,C006,9710.69,income,Service
2020-04-18,C007,1454.7,income,Service
2020-05-04,C008,3207.08,income,Partial
2020-05-08,C008,4810.62,income,Partial
2020-04-20,C009,10384.81,income,Service
2020-04-18,C010,6230.49,income,Service
2020-04-27,C011,7779.9,income,Service
2020-04-22,C013,2063.5,income,Service
2020-05-02,C015,1203.62,income,Partial
2020-05-06,C015,1805.42,income,Partial
2020-04-03,C017,1590.83,income,Partial
2020-04-07,C017,2386.24,income,Partial
2020-05-04,C018,6638.0,income,Service
2020-04-11,C019,7961.2,income,Service
2020-05-01,C022,1135.96,income,Service
2020-05-15,C023,8270.01,income,Service
2020-04-13,C025,1923.83,income,Service
2020-05-07,,8446.52,income,Service
2020-05-08,C027,6672.01,income,Service
2020-05-07,C031,1255.93,income,Service
2020-05-14,C032,3915.68,income,Service
2020-05-04,C033,10871.66,income,Service
2020-04-02,C034,2434.38,income,Partial
2020-04-06,C034,3651.57,income,Partial
2020-04-02,C034,6085.95,income,Service
2020-05-13,C035,11813.5,income,Service
2020-05-10,C042,7454.85,income,Service
2020-05-07,C044,12529.94,income,Service
2020-04-22,C046,4683.67,income,Service
2020-04-22,C046,4683.67,income,Service
2020-05-11,,658.58,income,UNKNOWN_ERROR
2020-05-15,C047,987.88,income,Partial
2020-05-16,C049,10815.64,income,Service
2020-04-26,C055,2410.45,income,Service
2020-05-09,C058,5371.91,income,Service
2020-04-15,C062,13405.35,income,Service
2020-04-15,C062,13405.35,income,Service
2020-05-03,C063,4805.14,income,Service
2020-05-01,C071,3231.99,income,Service
2020-04-15,C076,1761.16,income,Service
2020-04-15,C076,1761.16,income,Service
2020-04-25,C085,1166.3,income,Service
2020-05-02,C091,3009.78,income,Partial
2020-05-06,C091,4514.67,income,Partial
2020-04-24,C099,6225.99,income,Service
2020-05-16,C100,6616.09,income,Service
2020-05-01,SELF,1200.0,expense,Rent
2020-05-25,C001,5076.82,income,Service
2020-05-11,C002,233.49,income,Partial
2020-05-15,C002,350.24,income,Partial
2020-05-23,C003,881.53,income,Partial
2020-05-27,C003,1322.29,income,Partial
2020-05-18,C004,9410.21,income,Service
2020-06-09,C005,6104.46,income,Service
2020-05-06,C006,9856.32,income,Service
2020-05-03,C007,592.63,income,Partial
2020-05-07,C007,888.94,income,Partial
2020-06-09,C008,8088.49,income,UNKNOWN_ERROR
2020-05-25,C009,10423.01,income,Service
2020-05-19,C010,6027.33,income,Service
2020-06-04,C011,7796.87,income,Service
2020-05-15,C012,13349.05,income,Service
2020-05-12,C013,1829.1,income,Service
2020-05-17,C015,1552.17,income,Partial
2020-05-21,C015,2328.26,income,Partial
2020-06-12,C016,13343.34,income,Service
2020-05-03,C018,3535.75,income,Partial
2020-05-07,C018,5303.63,income,Partial
2020-05-15,C019,10385.8,income,Service
2020-05-12,C024,5308.66,income,Service
2020-06-12,C025,1332.04,income,Service
2020-05-14,C030,5612.02,income,UNKNOWN_ERROR
2020-05-13,C031,1088.17,income,Service
2020-05-28,C032,4984.08,income,Service
2020-05-08,C033,3513.0,income,Partial
2020-05-12,C033,5269.49,income,Partial
2020-05-10,C037,8032.16,income,Service
2020-06-02,C038,11388.81,income,Service
2020-05-22,C041,9033.04,income,Service
2020-05-29,C042,11292.03,income,Service
2020-06-12,C044,4512.98,income,Partial
2020-06-16,,6769.46,income,Partial
2020-06-02,C046,5475.15,income,Service
2020-05-29,C047,1112.65,income,Service
2020-05-28,C049,12753.79,income,Service
2020-06-10,C050,669.28,income,Service
2020-06-07,,1086.97,income,Service
2020-06-07,C051,1086.97,income,Service
2020-05-02,C055,1159.05,income,Service
2020-05-08,C057,8739.66,income,Service
2020-06-05,C058,1437.77,income,Partial
2020-06-09,C058,2156.65,income,Partial
2020-05-04,C059,5709.73,income,Service
2020-05-24,C060,4664.73,income,Service
2020-05-27,C062,3688.22,income,Partial
2020-05-31,C062,5532.34,income,Partial
2020-06-13,C066,5052.3,income,UNKNOWN_ERROR
2020-05-28,C068,4818.51,income,UNKNOWN_ERROR
2020-06-01,C076,1179.9,income,Service
2020-05-21,C078,1297.55,income,Service
2020-06-14,C085,534.91,income,Partial
2020-06-18,C085,802.37,income,Partial
2020-05-20,C087,2576.76,income,Service
2020-05-19,C088,19933.52,income,Service
2020-05-29,C089,4159.89,income,Partial
2020-06-02,C089,6239.83,income,Partial
2020-05-19,C090,1023.18,income,Partial
2020-05-23,C090,1534.76,income,Partial
2020-05-10,C093,8121.58,income,Service
2020-05-31,C097,568.33,income,Service
2020-06-01,SELF,1200.0,expense,Rent
2020-07-08,C001,5012.9,income,Service
2020-06-12,C002,611.54,income,Service
2020-06-28,C003,2361.06,income,Service
2020-06-06,C004,8731.96,income,Service
2020-06-03,C005,5904.78,income,UNKNOWN_ERROR
2020-06-20,C006,9760.9,income,Service
2020-06-28,C007,1417.23,income,UNKNOWN_ERROR
2020-06-30,C008,8078.33,income,Service
2020-06-19,C009,4325.77,income,Partial
2020-06-23,,6488.66,income,Partial
2020-06-16,C010,2444.49,income,Partial
2020-06-20,C010,3666.74,income,Partial
2020-07-07,C012,8017.65,income,Service
2020-06-14,C014,7108.28,income,Service
2020-06-03,C015,3462.23,income,Service
2020-06-30,C016,2814.72,income,Partial
2020-07-04,C016,4222.08,income,UNKNOWN_ERROR
2020-07-01,C017,4315.93,income,Service
2020-07-15,,3501.67,income,UNKNOWN_ERROR
2020-07-19,C018,5252.5,income,Partial
2020-06-18,C019,11778.12,income,Service
2020-06-25,C022,1076.74,income,Service
2020-06-05,C024,2572.88,income,UNKNOWN_ERROR
2020-06-09,C024,3859.33,income,Partial
2020-06-15,C027,4965.72,income,Service
2020-06-19,C029,7257.88,income,Service
2020-07-09,,7650.02,income,Service
2020-06-05,C031,1015.22,income,Service
2020-07-11,C032,3039.34,income,Service
2020-07-04,C037,10940.11,income,Service
2020-06-06,C039,3216.12,income,Partial
2020-06-10,C039,4824.17,income,Partial
2020-06-03,C040,2113.23,income,Service
2020-06-06,C041,3232.83,income,Partial
2020-06-10,C041,4849.24,income,UNKNOWN_ERROR
2020-06-03,C042,9355.58,income,Service
2020-06-04,C044,9768.61,income,Service
2020-06-07,C045,1771.6,income,Service
2020-07-08,C046,9143.13,income,UNKNOWN_ERROR
2020-06-26,C048,9930.19,income,Service
2020-07-02,C052,1347.17,income,Service
2020-06-08,C055,917.17,income,UNKNOWN_ERROR
2020-06-23,C057,8617.0,income,Service
2020-07-14,C059,3350.1,income,Service
2020-06-14,C064,2061.36,income,Service
2020-06-10,C071,5637.41,income,Partial
2020-06-14,C071,8456.12,income,Partial
2020-07-02,C082,18125.78,income,Service
2020-07-01,C083,1323.36,income,Partial
2020-07-05,C083,1985.04,income,Partial
2020-06-24,C086,6130.57,income,Service
2020-06-24,C088,17944.32,income,Service
2020-07-04,C090,3280.68,income,Service
2020-07-03,C091,4972.27,income,Partial
2020-07-07,C091,7458.4,income,Partial
2020-06-14,C092,7538.84,income,UNKNOWN_ERROR
2020-07-11,C095,8907.14,income,Service
2020-07-01,SELF,1200.0,expense,UNKNOWN_ERROR
2020-07-29,C001,5020.47,income,Service
2020-07-18,C002,573.38,income,Service
2020-07-22,C003,892.67,income,Partial
2020-07-26,C003,1339.01,income,UNKNOWN_ERROR
2020-07-07,C004,9425.68,income,Service
2020-08-07,C005,5998.1,income,Service
2020-08-03,,10238.84,income,Service
2020-07-06,C007,1491.88,income,Service
2020-08-14,C008,8413.23,income,Service
2020-07-07,C009,4127.94,income,Partial
2020-07-11,C009,6191.91,income,Partial
2020-07-13,C010,5909.08,income,Service
2020-07-13,C010,5909.08,income,Service
2020-08-06,C011,4833.98,income,Service
2020-07-16,C013,1824.34,income,Service
2020-08-11,C015,2435.15,income,Service
2020-07-25,C016,13595.49,income,Service
2020-07-10,C017,3721.81,income,Service
2020-08-09,C019,11657.46,income,Service
2020-07-18,C020,1284.22,income,Service
2020-07-23,C021,4759.09,income,Service
2020-08-06,C023,9349.21,income,Service
2020-08-09,C024,3023.65,income,UNKNOWN_ERROR
2020-08-13,C024,4535.48,income,Partial
2020-08-09,C025,1755.71,income,Service
2020-07-18,C027,6168.2,income,Service
2020-08-09,C030,5506.51,income,Service
2020-07-06,C032,1351.86,income,Partial
2020-07-10,C032,2027.79,income,Partial
2020-07-13,C033,4857.15,income,Partial
2020-07-17,C033,7285.73,income,UNKNOWN_ERROR
2020-07-22,C036,2006.26,income,UNKNOWN_ERROR
2020-07-26,C036,3009.39,income,Partial
2020-08-10,C038,8098.07,income,UNKNOWN_ERROR
2020-07-25,C040,2809.17,income,Service
2020-08-02,C041,4241.91,income,Partial
2020-08-06,C041,6362.87,income,Partial
2020-07-19,C043,6333.87,income,Service
2020-07-19,C043,6333.87,income,Service
2020-08-09,C045,1424.25,income,Service
2020-07-04,C046,9676.19,income,Service
2020-08-02,C049,2387.47,income,Partial
2020-08-06,C049,3581.21,income,Partial
2020-07-31,C054,13488.3,income,UNKNOWN_ERROR
2020-07-07,C055,1838.42,income,Service
2020-07-08,C056,11952.61,income,Service
2020-07-08,C058,1646.65,income,Service
2020-07-20,C059,1952.7,income,Partial
2020-07-24,C059,2929.05,income,Partial
2020-07-09,C067,8395.06,income,Service
2020-07-03,C070,12279.18,income,Service
2020-07-28,C071,6487.07,income,Service
2020-07-30,C077,4955.73,income,Service
2020-08-09,C085,1279.15,income,Service
2020-07-05,C087,1311.96,income,Service
2020-08-07,C092,3255.79,income,Service
2020-07-20,C093,2400.54,income,Partial
2020-07-24,C093,3600.81,income,Partial
2020-07-17,C094,5407.6,income,Service
2020-08-15,C099,2329.34,income,Partial
2020-08-19,C099,3494.01,income,Partial
2020-08-15,C099,5823.35,income,Service
2020-08-01,SELF,1200.0,expense,Rent
2020-08-26,C001,4820.78,income,Service
2020-09-14,C002,592.55,income,Service
2020-08-30,C003,2224.93,income,Service
2020-09-15,C004,9414.13,income,Service
2020-08-26,C005,6105.58,income,Service
2020-08-19,C006,10665.42,income,Service
2020-08-29,C008,8219.73,income,Service
2020-08-30,C009,4080.18,income,Partial
2020-09-03,C009,6120.27,income,Partial
2020-08-09,C010,6050.51,income,Service
2020-08-28,C011,4270.59,income,UNKNOWN_ERROR
2020-09-01,C013,1764.75,income,Service
2020-08-15,C014,10202.97,income,Service
2020-09-05,C015,1466.12,income,Partial
2020-09-09,C015,2199.18,income,Partial
2020-08-20,C017,5656.11,income,Service
2020-08-27,C020,1532.18,income,Service
2020-08-07,C021,5142.24,income,Service
2020-08-11,C022,372.38,income,Partial
2020-08-15,C022,558.58,income,Partial
2020-08-25,C023,13550.69,income,Service
2020-08-20,C024,8872.81,income,Service
2020-09-14,C026,7054.43,income,Service
2020-08-07,C027,5051.46,income,Service
2020-08-14,C029,6718.27,income,UNKNOWN_ERROR
2020-08-21,C031,1555.46,income,Service
2020-09-09,C032,4401.19,income,Service
2020-09-09,C033,6752.93,income,UNKNOWN_ERROR
2020-09-14,C034,2686.32,income,Partial
2020-09-18,C034,4029.48,income,Partial
2020-08-22,C035,7341.92,income,Service
2020-09-05,C041,7617.94,income,Service
2020-08-15,C042,9922.69,income,Service
2020-08-12,C044,9722.37,income,Service
2020-08-11,C045,604.12,income,Partial
2020-08-15,C045,906.18,income,Partial
2020-08-27,C047,1274.56,income,UNKNOWN_ERROR
2020-09-12,C049,10676.11,income,Service
2020-09-12,C050,1294.77,income,Service
2020-08-04,C052,1497.71,income,Service
2020-08-31,C053,3129.75,income,Service
2020-08-03,C054,18923.86,income,UNKNOWN_ERROR
2020-08-14,C056,8480.15,income,UNKNOWN_ERROR
2020-09-10,C062,1958.4,income,Service
2020-08-04,C063,1114.26,income,Partial
2020-08-08,C063,1671.4,income,Partial
2020-08-08,C066,1144.99,income,Service
2020-08-30,C077,670.49,income,Service
2020-09-12,C080,1569.08,income,UNKNOWN_ERROR
2020-09-05,C087,1831.18,income,Service
2020-09-11,C091,2845.38,income,Service
2020-08-03,C093,9196.58,income,Service
2020-08-19,C094,13433.22,income,Service
2020-09-12,C095,9920.5,income,Service
2020-08-03,C097,2021.81,income,Service
2020-09-01,SELF,1200.0,expense,Rent
2020-09-25,C001,4900.61,income,Service
2020-09-25,C001,4900.61,income,Service
2020-10-14,C002,565.31,income,Service
2020-10-13,C003,2341.46,income,Service
2020-09-25,C004,8715.67,income,Service
2020-09-05,,5945.86,income,Service
2020-10-15,C006,3870.72,income,Partial
2020-10-19,C006,5806.08,income,Partial
2020-10-05,C007,1370.88,income,Service
2020-09-10,C008,8071.39,income,Service
2020-10-04,C009,10266.46,income,Service
2020-10-08,C010,5839.25,income,Service
2020-09-29,C012,8340.57,income,Service
2020-10-11,C013,2345.6,income,Service
2020-09-03,C014,4810.97,income,Service
2020-09-16,C015,2531.91,income,Service
2020-09-15,C019,10892.76,income,UNKNOWN_ERROR
2020-09-10,C020,2161.68,income,Service
2020-09-05,C021,7889.31,income,Service
2020-09-05,C021,7889.31,income,Service
2020-09-25,C022,982.73,income,Service
2020-10-03,C024,6082.09,income,UNKNOWN_ERROR
2020-10-05,,627.25,income,Partial
2020-10-09,C025,940.87,income,Partial
2020-10-12,C026,7984.95,income,Service
2020-09-16,C027,4432.67,income,Service
2020-10-08,C028,5559.6,income,Service
2020-09-05,C030,6068.11,income,UNKNOWN_ERROR
2020-10-08,C031,903.85,income,Service
2020-09-18,C033,9186.13,income,Service
2020-09-11,C034,3344.42,income,Partial
2020-09-15,C034,5016.63,income,Partial
2020-09-09,,12813.09,income,Service
2020-09-21,C038,8508.69,income,UNKNOWN_ERROR
2020-10-15,C039,4630.46,income,Partial
2020-10-19,C039,6945.69,income,UNKNOWN_ERROR
2020-10-08,C041,3098.64,income,Partial
2020-10-12,C041,4647.96,income,Partial
2020-10-11,C046,3944.17,income,Partial
2020-10-15,C046,5916.25,income,Partial
2020-09-22,C048,9997.66,income,Service
2020-10-12,C049,12774.0,income,Service
2020-09-12,C050,937.23,income,Service
2020-09-23,C052,1959.19,income,Partial
2020-09-27,C052,2938.79,income,Partial
2020-10-10,C057,6190.97,income,Service
2020-09-05,C060,546.21,income,Partial
2020-09-09,C060,819.32,income,Partial
2020-09-20,C063,1532.18,income,Service
2020-10-06,C066,7090.28,income,Service
2020-09-09,C067,2598.21,income,Service
2020-09-23,C068,747.08,income,Partial
2020-09-27,C068,1120.62,income,Partial
2020-10-02,C072,15319.48,income,Service
2020-10-02,C072,15319.48,income,Service
2020-10-09,C073,3402.92,income,Service
2020-09-08,C080,7451.81,income,Service
2020-09-15,C089,8066.19,income,Service
2020-10-16,C092,1244.5,income,Partial
2020-10-20,C092,1866.75,income,Partial
2020-09-23,C097,604.61,income,Service
2020-10-12,C099,15270.56,income,Service
2020-09-25,,5333.71,income,Partial
2020-09-29,C100,8000.57,income,Partial
2020-10-01,SELF,1200.0,expense,Rent
2020-11-14,C001,4818.77,income,Service
2020-10-02,C002,236.96,income,Partial
2020-10-06,C002,355.44,income,Partial
2020-10-24,C003,2248.73,income,Service
2020-10-31,C004,3553.37,income,Partial
2020-11-04,C004,5330.05,income,Partial
2020-10-25,C006,9818.08,income,Service
2020-10-04,C007,558.34,income,UNKNOWN_ERROR
2020-10-08,C007,837.51,income,Partial
2020-11-03,C008,8503.21,income,Service
2020-10-03,C009,9994.45,income,Service
2020-10-15,C010,6328.15,income,Service
2020-10-11,C012,6782.79,income,Service
2020-10-16,C013,1300.06,income,UNKNOWN_ERROR
2020-10-29,C015,2694.33,income,Service
2020-10-17,C017,5423.42,income,Service
2020-10-06,C018,7721.52,income,Service
2020-10-30,,9226.78,income,Service
2020-10-15,C023,12004.85,income,Service
2020-11-14,,7468.69,income,Service
2020-10-16,C025,481.11,income,Partial
2020-10-20,C025,721.67,income,Partial
2020-10-05,C026,4882.38,income,Service
2020-11-03,C028,3940.1,income,Service
2020-10-17,C031,974.28,income,Service
2020-11-09,C032,2995.52,income,Service
2020-11-09,C034,7638.5,income,Service
2020-10-24,,10200.08,income,Service
2020-11-12,C036,4193.89,income,Service
2020-10-14,C038,14515.16,income,Service
2020-10-06,C039,7758.65,income,Service
2020-11-07,C041,10816.84,income,Service
2020-11-06,C044,11559.28,income,Service
2020-11-04,C046,4865.06,income,Service
2020-10-28,C048,9097.5,income,Service
2020-10-18,C050,846.42,income,Service
2020-10-19,,11873.8,income,Service
2020-10-30,C056,712.21,income,Partial
2020-11-03,,1068.32,income,Partial
2020-10-31,C058,4465.89,income,Service
2020-11-01,C059,3971.1,income,Partial
2020-11-05,C059,5956.65,income,Partial
2020-10-13,C065,637.55,income,Service
2020-10-31,C081,5272.98,income,UNKNOWN_ERROR
2020-10-11,C083,12048.53,income,Service
2020-11-05,C084,5710.09,income,Service
2020-10-28,C086,3014.82,income,Partial
2020-11-01,C086,4522.24,income,Partial
2020-11-01,C087,651.39,income,Partial
2020-11-05,C087,977.09,income,Partial
2020-10-09,C088,19865.62,income,UNKNOWN_ERROR
2020-10-13,C090,5855.87,income,Service
2020-11-11,C094,1437.97,income,UNKNOWN_ERROR
2020-11-15,C094,2156.96,income,Partial
2020-10-16,C095,19742.14,income,Service
2020-10-09,C097,1450.14,income,Service
2020-10-14,C100,16241.09,income,Service
2020-11-01,SELF,1200.0,expense,Rent
2020-12-11,C001,5118.09,income,Service
2020-12-04,C002,227.64,income,Partial
2020-12-08,C002,341.45,income,UNKNOWN_ERROR
2020-12-09,C003,2263.03,income,Service
2020-11-22,C004,9298.3,income,Service
2020-11-30,C005,6191.88,income,Service
2020-11-04,C006,10235.59,income,Service
2020-12-13,C007,1461.97,income,UNKNOWN_ERROR
2020-11-06,C008,3454.73,income,Partial
2020-11-10,C008,5182.1,income,Partial
2020-11-21,C009,10258.1,income,Service
2020-11-02,C010,6250.24,income,Service
2020-12-13,C013,1812.93,income,Service
2020-11-09,C016,3212.44,income,Partial
2020-11-13,C016,4818.66,income,Partial
2020-11-03,C017,2147.15,income,Partial
2020-11-07,C017,3220.72,income,Partial
2020-12-09,C018,9777.93,income,Service
2020-12-06,C019,5146.39,income,Partial
2020-12-10,C019,7719.58,income,Partial
2020-11-24,C020,603.43,income,Partial
2020-11-28,,905.14,income,Partial
2020-11-18,C021,9366.72,income,UNKNOWN_ERROR
2020-11-20,C022,970.43,income,Service
2020-12-01,C023,13399.88,income,Service
2020-11-16,,1475.38,income,Service
2020-11-12,C026,2928.63,income,Partial
2020-11-16,C026,4392.94,income,Partial
2020-11-30,C029,8334.6,income,UNKNOWN_ERROR
2020-11-28,C030,7095.81,income,Service
2020-11-19,C031,359.73,income,Partial
2020-11-23,C031,539.59,income,Partial
2020-12-06,C032,5583.64,income,Service
2020-11-16,C033,2857.99,income,Partial
2020-11-20,C033,4286.99,income,Partial
2020-12-13,C034,5632.83,income,Service
2020-11-20,C035,11699.73,income,Service
2020-11-08,C037,10288.63,income,Service
2020-12-01,C040,4248.17,income,Service
2020-11-30,C042,6447.19,income,Service
2020-11-19,C043,5456.69,income,Service
2020-11-16,C044,10995.56,income,Service
2020-12-02,C045,1566.93,income,Service
2020-11-14,C046,7262.09,income,Service
2020-11-17,C048,14097.57,income,Service
2020-12-06,C049,5918.29,income,Service
2020-11-07,C057,8028.37,income,Service
2020-11-02,C066,7502.1,income,Service
2020-11-06,C068,3818.9,income,Service
2020-11-26,C073,2964.24,income,Service
