invoice_id,client_id,due_date,paid_date,amount
INV00169,C064,2020-03-03,2020-03-30,4377.8
INV00170,C067,2020-02-19,2020-03-02,6577.75
INV00171,C069,2020-03-28,2020-04-11,8845.53
INV00172,C076,2020-01-31,2020-03-10,290.8
INV00173,C083,2020-02-29,2020-04-03,4344.51
INV00174,C083,2020-03-17,2020-04-07,6516.77
INV00175,C086,2020-01-21,2020-03-03,7728.45
INV00176,C087,2020-02-13,2020-03-09,1902.51
INV00177,C090,2020-02-13,2020-03-20,4984.16
INV00178,C001,2020-04-24,2020-05-13,4691.05
INV00179,C002,2020-03-17,2020-04-03,582.37
INV00180,C003,2020-03-09,2020-04-19,2195.83
INV00181,C004,2020-04-03,2020-04-29,3720.07
INV00182,C004,2020-03-31,2020-05-03,5580.1
INV00183,C005,2020-05-03,2020-05-14,2383.54
INV00184,C005,2020-04-29,2020-05-18,3575.3
INV00185,C006,2020-03-16,2020-04-16,9710.69
INV00186,C007,2020-03-21,2020-04-18,1454.7
INV00187,C008,2020-03-25,2020-05-04,3207.08
INV00188,C008,2020-04-17,2020-05-08,4810.62
INV00189,C009,2020-03-08,2020-04-20,10384.81
INV00190,C010,2020-03-28,2020-04-18,6230.49
INV00191,C011,2020-03-14,2020-04-27,7779.9
INV00192,C013,2020-03-26,2020-04-22,2063.5
INV00193,C015,2020-04-15,2020-05-02,1203.62
INV00194,C015,2020-04-06,2020-05-06,1805.42
INV00195,C017,2020-03-15,2020-04-03,1590.83
INV00196,C017,2020-02-22,2020-04-07,2386.24
INV00197,C018,2020-04-12,2020-05-04,6638.0
INV00198,C019,2020-03-17,2020-04-11,7961.2
INV00199,C022,2020-04-01,2020-05-01,1135.96
INV00200,C023,2020-04-17,2020-05-15,8270.01
INV00201,C025,2020-03-18,2020-04-13,1923.83
INV00202,C027,2020-04-03,2020-05-08,6672.01
INV00203,C031,2020-04-30,2020-05-07,1255.93
INV00204,C032,2020-04-05,2020-05-14,3915.68
INV00205,C033,2020-04-10,2020-05-04,10871.66
INV00206,C034,2020-03-17,2020-04-02,2434.38
INV00207,C034,2020-03-08,2020-04-06,3651.57
INV00208,C034,2020-03-18,2020-04-02,6085.95
INV00209,C035,2020-04-17,2020-05-13,11813.5
INV00210,C042,2020-04-30,2020-05-10,7454.85
INV00211,C044,2020-04-15,2020-05-07,12529.94
INV00212,C046,2020-03-12,2020-04-22,4683.67
INV00213,C046,2020-03-10,2020-04-22,4683.67
INV00214,C047,2020-03-31,2020-05-15,987.88
INV00215,C049,2020-04-11,2020-05-16,10815.64
INV00216,C055,2020-03-27,2020-04-26,2410.45
INV00217,C058,2020-04-02,2020-05-09,5371.91
INV00218,C062,2020-03-03,2020-04-15,13405.35
INV00219,C062,2020-03-16,2020-04-15,13405.35
INV00220,C063,2020-04-11,2020-05-03,4805.14
INV00221,C071,2020-04-06,2020-05-01,3231.99
INV00222,C076,2020-03-30,2020-04-15,1761.16
INV00223,C076,2020-03-28,2020-04-15,1761.16
INV00224,C085,2020-03-14,2020-04-25,1166.3
INV00225,C091,2020-04-04,2020-05-02,3009.78
INV00226,C091,2020-04-10,2020-05-06,4514.67
INV00227,C099,2020-03-13,2020-04-24,6225.99
INV00228,C100,2020-04-28,2020-05-16,6616.09
INV00229,C001,2020-05-11,2020-05-25,5076.82
INV00230,C002,2020-04-29,2020-05-11,233.49
INV00231,C002,2020-04-03,2020-05-15,350.24
INV00232,C003,2020-04-10,2020-05-23,881.53
INV00233,C003,2020-04-29,2020-05-27,1322.29
INV00234,C004,2020-04-20,2020-05-18,9410.21
INV00235,C005,2020-05-03,2020-06-09,6104.46
INV00236,C006,2020-04-16,2020-05-06,9856.32
INV00237,C007,2020-04-20,2020-05-03,592.63
INV00238,C007,2020-04-27,2020-05-07,888.94
INV00239,C008,2020-05-30,2020-06-09,8088.49
INV00240,C009,2020-05-13,2020-05-25,10423.01
INV00241,C010,2020-05-11,2020-05-19,6027.33
INV00242,C011,2020-04-26,2020-06-04,7796.87
INV00243,C012,2020-04-29,2020-05-15,13349.05
INV00244,C013,2020-04-17,2020-05-12,1829.1
INV00245,C015,2020-05-08,2020-05-17,1552.17
INV00246,C015,2020-04-29,2020-05-21,2328.26
INV00247,C016,2020-05-13,2020-06-12,13343.34
INV00248,C018,2020-04-22,2020-05-03,3535.75
INV00249,C018,2020-04-22,2020-05-07,5303.63
INV00250,C019,2020-04-23,2020-05-15,10385.8
INV00251,C024,2020-04-15,2020-05-12,5308.66
INV00252,C025,2020-05-12,2020-06-12,1332.04
INV00253,C030,2020-04-01,2020-05-14,5612.02
INV00254,C031,2020-04-06,2020-05-13,1088.17
INV00255,C032,2020-05-17,2020-05-28,4984.08
INV00256,C033,2020-04-16,2020-05-08,3513.0
INV00257,C033,2020-05-01,2020-05-12,5269.49
INV00258,C037,2020-05-03,2020-05-10,8032.16
INV00259,C038,2020-04-23,2020-06-02,11388.81
INV00260,C041,2020-04-10,2020-05-22,9033.04
INV00261,C042,2020-04-25,2020-05-29,11292.03
INV00262,C044,2020-05-06,2020-06-12,4512.98
INV00263,C046,2020-04-24,2020-06-02,5475.15
INV00264,C047,2020-04-28,2020-05-29,1112.65
INV00265,C049,2020-05-13,2020-05-28,12753.79
INV00266,C050,2020-05-14,2020-06-10,669.28
INV00267,C051,2020-04-23,2020-06-07,1086.97
INV00268,C055,2020-03-20,2020-05-02,1159.05
INV00269,C057,2020-03-25,2020-05-08,8739.66
INV00270,C058,2020-05-26,2020-06-05,1437.77
INV00271,C058,2020-05-02,2020-06-09,2156.65
INV00272,C059,2020-03-27,2020-05-04,5709.73
INV00273,C060,2020-04-19,2020-05-24,4664.73
INV00274,C062,2020-05-01,2020-05-27,3688.22
INV00275,C062,2020-04-30,2020-05-31,5532.34
INV00276,C066,2020-05-15,2020-06-13,5052.3
INV00277,C068,2020-05-11,2020-05-28,4818.51
INV00278,C076,2020-05-21,2020-06-01,1179.9
INV00279,C078,2020-04-12,2020-05-21,1297.55
INV00280,C085,2020-05-11,2020-06-14,534.91
INV00281,C085,2020-06-01,2020-06-18,802.37
INV00282,C087,2020-05-07,2020-05-20,2576.76
INV00283,C088,2020-04-13,2020-05-19,19933.52
INV00284,C089,2020-04-14,2020-05-29,4159.89
INV00285,C089,2020-05-05,2020-06-02,6239.83
INV00286,C090,2020-04-08,2020-05-19,1023.18
INV00287,C090,2020-04-09,2020-05-23,1534.76
INV00288,C093,2020-04-29,2020-05-10,8121.58
INV00289,C097,2020-05-05,2020-05-31,568.33
INV00290,C001,2020-05-24,2020-07-08,5012.9
INV00291,C002,2020-05-09,2020-06-12,611.54
INV00292,C003,2020-05-29,2020-06-28,2361.06
INV00293,C004,2020-05-17,2020-06-06,8731.96
INV00294,C005,2020-05-05,2020-06-03,5904.78
INV00295,C006,2020-06-05,2020-06-20,9760.9
INV00296,C007,2020-06-15,2020-06-28,1417.23
INV00297,C008,2020-06-21,2020-06-30,8078.33
INV00298,C009,2020-05-20,2020-06-19,4325.77
INV00299,C010,2020-05-17,2020-06-16,2444.49
INV00300,C010,2020-05-30,2020-06-20,3666.74
INV00301,C012,2020-05-25,2020-07-07,8017.65
INV00302,C014,2020-05-15,2020-06-14,7108.28
INV00303,C015,2020-04-20,2020-06-03,3462.23
INV00304,C016,2020-06-13,2020-06-30,2814.72
INV00305,C016,2020-06-06,2020-07-04,4222.08
INV00306,C017,2020-06-21,2020-07-01,4315.93
INV00307,C018,2020-07-03,2020-07-19,5252.5
INV00308,C019,2020-05-27,2020-06-18,11778.12
INV00309,C022,2020-05-16,2020-06-25,1076.74
INV00310,C024,2020-05-19,2020-06-05,2572.88
INV00311,C024,2020-05-19,2020-06-09,3859.33
INV00312,C027,2020-05-08,2020-06-15,4965.72
INV00313,C029,2020-05-13,2020-06-19,7257.88
INV00314,C031,2020-05-11,2020-06-05,1015.22
INV00315,C032,2020-06-07,2020-07-11,3039.34
INV00316,C037,2020-06-15,2020-07-04,10940.11
INV00317,C039,2020-05-14,2020-06-06,3216.12
INV00318,C039,2020-05-09,2020-06-10,4824.17
INV00319,C040,2020-05-20,2020-06-03,2113.23
INV00320,C041,2020-04-27,2020-06-06,3232.83
INV00321,C041,2020-05-01,2020-06-10,4849.24
INV00322,C042,2020-04-20,2020-06-03,9355.58
INV00323,C044,2020-05-20,2020-06-04,9768.61
INV00324,C045,2020-04-30,2020-06-07,1771.6
INV00325,C046,2020-05-24,2020-07-08,9143.13
INV00326,C048,2020-05-21,2020-06-26,9930.19
INV00327,C052,2020-06-22,2020-07-02,1347.17
INV00328,C055,2020-05-25,2020-06-08,917.17
INV00329,C057,2020-05-22,2020-06-23,8617.0
INV00330,C059,2020-06-17,2020-07-14,3350.1
INV00331,C064,2020-05-12,2020-06-14,2061.36
INV00332,C071,2020-05-23,2020-06-10,5637.41
INV00333,C071,2020-05-22,2020-06-14,8456.12
INV00334,C082,2020-06-17,2020-07-02,18125.78
INV00335,C083,2020-06-23,2020-07-01,1323.36
INV00336,C083,2020-06-21,2020-07-05,1985.04
INV00337,C086,2020-06-11,2020-06-24,6130.57
INV00338,C088,2020-05-15,2020-06-24,17944.32
INV00339,C090,2020-05-22,2020-07-04,3280.68
INV00340,C091,2020-06-03,2020-07-03,4972.27
INV00341,C091,2020-06-22,2020-07-07,7458.4
INV00342,C092,2020-05-06,2020-06-14,7538.84
INV00343,C095,2020-06-05,2020-07-11,8907.14
INV00344,C001,2020-06-18,2020-07-29,5020.47
INV00345,C002,2020-06-12,2020-07-18,573.38
INV00346,C003,2020-06-27,2020-07-22,892.67
INV00347,C003,2020-07-07,2020-07-26,1339.01
INV00348,C004,2020-05-29,2020-07-07,9425.68
INV00349,C005,2020-07-12,2020-08-07,5998.1
INV00350,C007,2020-06-15,2020-07-06,1491.88
INV00351,C008,2020-08-06,2020-08-14,8413.23
INV00352,C009,2020-05-28,2020-07-07,4127.94
INV00353,C009,2020-07-03,2020-07-11,6191.91
INV00354,C010,2020-07-05,2020-07-13,5909.08
INV00355,C010,2020-07-01,2020-07-13,5909.08
INV00356,C011,2020-06-23,2020-08-06,4833.98
INV00357,C013,2020-06-04,2020-07-16,1824.34
INV00358,C015,2020-08-04,2020-08-11,2435.15
INV00359,C016,2020-07-11,2020-07-25,13595.49
INV00360,C017,2020-06-19,2020-07-10,3721.81
INV00361,C019,2020-07-27,2020-08-09,11657.46
INV00362,C020,2020-06-25,2020-07-18,1284.22
INV00363,C021,2020-06-19,2020-07-23,4759.09
INV00364,C023,2020-06-25,2020-08-06,9349.21
INV00365,C024,2020-07-24,2020-08-09,3023.65
INV00366,C024,2020-07-17,2020-08-13,4535.48
INV00367,C025,2020-07-19,2020-08-09,1755.71
INV00368,C027,2020-06-19,2020-07-18,6168.2
INV00369,C030,2020-07-30,2020-08-09,5506.51
INV00370,C032,2020-05-25,2020-07-06,1351.86
INV00371,C032,2020-06-28,2020-07-10,2027.79
INV00372,C033,2020-06-04,2020-07-13,4857.15
INV00373,C033,2020-06-04,2020-07-17,7285.73
INV00374,C036,2020-06-11,2020-07-22,2006.26
INV00375,C036,2020-06-26,2020-07-26,3009.39
INV00376,C038,2020-07-14,2020-08-10,8098.07
INV00377,C040,2020-06-29,2020-07-25,2809.17
INV00378,C041,2020-06-23,2020-08-02,4241.91
INV00379,C041,2020-07-14,2020-08-06,6362.87
INV00380,C043,2020-07-01,2020-07-19,6333.87
INV00381,C043,2020-07-02,2020-07-19,6333.87
INV00382,C045,2020-07-15,2020-08-09,1424.25
INV00383,C046,2020-05-24,2020-07-04,9676.19
INV00384,C049,2020-07-23,2020-08-02,2387.47
INV00385,C049,2020-07-25,2020-08-06,3581.21
INV00386,C054,2020-07-15,2020-07-31,13488.3
INV00387,C055,2020-06-17,2020-07-07,1838.42
INV00388,C056,2020-06-03,2020-07-08,11952.61
INV00389,C058,2020-06-30,2020-07-08,1646.65
INV00390,C059,2020-06-09,2020-07-20,1952.7
INV00391,C059,2020-07-06,2020-07-24,2929.05
INV00392,C067,2020-06-23,2020-07-09,8395.06
INV00393,C070,2020-06-06,2020-07-03,12279.18
INV00394,C071,2020-06-20,2020-07-28,6487.07
INV00395,C077,2020-06-21,2020-07-30,4955.73
INV00396,C085,2020-07-23,2020-08-09,1279.15
INV00397,C087,2020-06-16,2020-07-05,1311.96
INV00398,C092,2020-07-07,2020-08-07,3255.79
INV00399,C093,2020-06-20,2020-07-20,2400.54
INV00400,C093,2020-06-21,2020-07-24,3600.81
INV00401,C094,2020-07-07,2020-07-17,5407.6
INV00402,C099,2020-08-04,2020-08-15,2329.34
INV00403,C099,2020-07-17,2020-08-19,3494.01
INV00404,C099,2020-07-21,2020-08-15,5823.35
INV00405,C001,2020-07-18,2020-08-26,4820.78
INV00406,C002,2020-08-19,2020-09-14,592.55
INV00407,C003,2020-07-21,2020-08-30,2224.93
INV00408,C004,2020-08-03,2020-09-15,9414.13
INV00409,C005,2020-08-14,2020-08-26,6105.58
INV00410,C006,2020-08-07,2020-08-19,10665.42
INV00411,C008,2020-07-29,2020-08-29,8219.73
INV00412,C009,2020-07-31,2020-08-30,4080.18
INV00413,C009,2020-07-26,2020-09-03,6120.27
INV00414,C010,2020-07-19,2020-08-09,6050.51
INV00415,C011,2020-08-17,2020-08-28,4270.59
INV00416,C013,2020-07-25,2020-09-01,1764.75
INV00417,C014,2020-07-19,2020-08-15,10202.97
INV00418,C015,2020-08-01,2020-09-05,1466.12
INV00419,C015,2020-08-02,2020-09-09,2199.18
INV00420,C017,2020-08-10,2020-08-20,5656.11
INV00421,C020,2020-07-13,2020-08-27,1532.18
INV00422,C021,2020-07-27,2020-08-07,5142.24
INV00423,C022,2020-06-28,2020-08-11,372.38
INV00424,C022,2020-07-04,2020-08-15,558.58
INV00425,C023,2020-07-16,2020-08-25,13550.69
INV00426,C024,2020-07-13,2020-08-20,8872.81
INV00427,C026,2020-09-05,2020-09-14,7054.43
INV00428,C027,2020-07-17,2020-08-07,5051.46
INV00429,C029,2020-07-19,2020-08-14,6718.27
INV00430,C031,2020-07-30,2020-08-21,1555.46
INV00431,C032,2020-08-21,2020-09-09,4401.19
INV00432,C033,2020-08-03,2020-09-09,6752.93
INV00433,C034,2020-08-01,2020-09-14,2686.32
INV00434,C034,2020-09-05,2020-09-18,4029.48
INV00435,C035,2020-07-21,2020-08-22,7341.92
INV00436,C041,2020-08-27,2020-09-05,7617.94
INV00437,C042,2020-07-20,2020-08-15,9922.69
INV00438,C044,2020-06-30,2020-08-12,9722.37
INV00439,C045,2020-07-09,2020-08-11,604.12
INV00440,C045,2020-07-02,2020-08-15,906.18
INV00441,C047,2020-07-20,2020-08-27,1274.56
INV00442,C049,2020-07-30,2020-09-12,10676.11
INV00443,C050,2020-08-08,2020-09-12,1294.77
INV00444,C052,2020-06-24,2020-08-04,1497.71
INV00445,C053,2020-08-20,2020-08-31,3129.75
INV00446,C054,2020-06-22,2020-08-03,18923.86
INV00447,C056,2020-07-07,2020-08-14,8480.15
INV00448,C062,2020-08-14,2020-09-10,1958.4
INV00449,C063,2020-07-20,2020-08-04,1114.26
INV00450,C063,2020-07-11,2020-08-08,1671.4
INV00451,C066,2020-07-29,2020-08-08,1144.99
INV00452,C077,2020-07-16,2020-08-30,670.49
INV00453,C080,2020-08-20,2020-09-12,1569.08
INV00454,C087,2020-08-19,2020-09-05,1831.18
INV00455,C091,2020-08-18,2020-09-11,2845.38
INV00456,C093,2020-07-20,2020-08-03,9196.58
INV00457,C094,2020-07-29,2020-08-19,13433.22
INV00458,C095,2020-08-26,2020-09-12,9920.5
INV00459,C097,2020-07-12,2020-08-03,2021.81
INV00460,C001,2020-08-14,2020-09-25,4900.61
INV00461,C001,2020-08-19,2020-09-25,4900.61
INV00462,C002,2020-09-21,2020-10-14,565.31
INV00463,C003,2020-10-03,2020-10-13,2341.46
INV00464,C004,2020-08-31,2020-09-25,8715.67
INV00465,C006,2020-10-08,2020-10-15,3870.72
INV00466,C006,2020-09-20,2020-10-19,5806.08
INV00467,C007,2020-09-12,2020-10-05,1370.88
INV00468,C008,2020-08-05,2020-09-10,8071.39
INV00469,C009,2020-09-02,2020-10-04,10266.46
INV00470,C010,2020-08-26,2020-10-08,5839.25
INV00471,C012,2020-09-20,2020-09-29,8340.57
INV00472,C013,2020-09-22,2020-10-11,2345.6
INV00473,C014,2020-08-26,2020-09-03,4810.97
INV00474,C015,2020-08-05,2020-09-16,2531.91
INV00475,C019,2020-09-07,2020-09-15,10892.76
INV00476,C020,2020-08-16,2020-09-10,2161.68
INV00477,C021,2020-08-05,2020-09-05,7889.31
INV00478,C021,2020-08-14,2020-09-05,7889.31
INV00479,C022,2020-09-14,2020-09-25,982.73
INV00480,C024,2020-09-13,2020-10-03,6082.09
INV00481,C025,2020-09-08,2020-10-09,940.87
INV00482,C026,2020-09-27,2020-10-12,7984.95
INV00483,C027,2020-08-27,2020-09-16,4432.67
INV00484,C028,2020-08-27,2020-10-08,5559.6
INV00485,C030,2020-07-30,2020-09-05,6068.11
INV00486,C031,2020-09-06,2020-10-08,903.85
INV00487,C033,2020-08-06,2020-09-18,9186.13
INV00488,C034,2020-08-07,2020-09-11,3344.42
INV00489,C034,2020-08-30,2020-09-15,5016.63
INV00490,C038,2020-08-29,2020-09-21,8508.69
INV00491,C039,2020-09-17,2020-10-15,4630.46
INV00492,C039,2020-09-23,2020-10-19,6945.69
INV00493,C041,2020-09-17,2020-10-08,3098.64
INV00494,C041,2020-09-30,2020-10-12,4647.96
INV00495,C046,2020-08-27,2020-10-11,3944.17
INV00496,C046,2020-09-11,2020-10-15,5916.25
INV00497,C048,2020-09-15,2020-09-22,9997.66
INV00498,C049,2020-09-10,2020-10-12,12774.0
INV00499,C050,2020-09-05,2020-09-12,937.23
INV00500,C052,2020-09-04,2020-09-23,1959.19
INV00501,C052,2020-08-30,2020-09-27,2938.79
INV00502,C057,2020-09-15,2020-10-10,6190.97
INV00503,C060,2020-08-09,2020-09-05,546.21
INV00504,C060,2020-08-04,2020-09-09,819.32
INV00505,C063,2020-08-10,2020-09-20,1532.18
INV00506,C066,2020-09-23,2020-10-06,7090.28
INV00507,C067,2020-08-24,2020-09-09,2598.21
INV00508,C068,2020-08-18,2020-09-23,747.08
INV00509,C068,2020-09-14,2020-09-27,1120.62
INV00510,C072,2020-08-27,2020-10-02,15319.48
INV00511,C072,2020-09-21,2020-10-02,15319.48
INV00512,C073,2020-08-29,2020-10-09,3402.92
INV00513,C080,2020-08-25,2020-09-08,7451.81
INV00514,C089,2020-09-01,2020-09-15,8066.19
INV00515,C092,2020-09-30,2020-10-16,1244.5
INV00516,C092,2020-09-15,2020-10-20,1866.75
INV00517,C097,2020-08-10,2020-09-23,604.61
INV00518,C099,2020-09-18,2020-10-12,15270.56
